sampleid	origin	Site	Condition	Temperature_C	Time_days	Time_months	Stage	Generation
1547s2-t0	1547B-2H2	1547	nd	20	0	0	Microcosm	0
1545s1-t0	1545B-1H2	1545	nd	20	0	0	Microcosm	0
1545s8-t0	1545B-8H2	1545	nd	20	0	0	Microcosm	0
1547s1-t0	1547B-1H2	1547	nd	20	0	0	Microcosm	0
1549s1-t0	1549B-1H2	1549	nd	20	0	0	Microcosm	0
1549s6-t0	1549B-6H2	1549	nd	20	0	0	Microcosm	0
1549s12-t0	1549B-12H2	1549	nd	20	0	0	Microcosm	0
1545s19-t0	1545B-19F3	1545	nd	37	0	0	Microcosm	0
1545s51-t0	1545B-51F3	1545	nd	70	0	0	Microcosm	0
1547s19-t0	1547B-19F2	1547	nd	70	0	0	Microcosm	0
1547sD8-t0	1547D-8R1	1547	nd	80	0	0	Microcosm	0
1547s2-t2A	1547B-2H2	1547	CONTROL	20	77	2	Microcosm	0
1547s2-t2B	1547B-2H2	1547	CH4	20	77	2	Microcosm	0
1547s2-t2C	1547B-2H2	1547	CO2	20	77	2	Microcosm	0
1547s2-t2D	1547B-2H2	1547	ACETATE	20	77	2	Microcosm	0
1547s2-t2E	1547B-2H2	1547	METHYL	20	77	2	Microcosm	0
1547s2-t2F	1547B-2H2	1547	METHOXY	20	77	2	Microcosm	0
1547s2-t2G	1547B-2H2	1547	ALKANES	20	77	2	Microcosm	0
1547s2-t2H	1547B-2H2	1547	LIGNIN	20	77	2	Microcosm	0
1545s1-t2A	1545B-1H2	1545	CONTROL	20	71	2	Microcosm	0
1545s1-t2B	1545B-1H2	1545	CH4	20	71	2	Microcosm	0
1545s1-t2C	1545B-1H2	1545	CO2	20	71	2	Microcosm	0
1545s1-t2D	1545B-1H2	1545	ACETATE	20	71	2	Microcosm	0
1545s1-t2E	1545B-1H2	1545	METHYL	20	71	2	Microcosm	0
1545s1-t2F	1545B-1H2	1545	METHOXY	20	71	2	Microcosm	0
1545s1-t2G	1545B-1H2	1545	ALKANES	20	71	2	Microcosm	0
1545s1-t2H	1545B-1H2	1545	LIGNIN	20	71	2	Microcosm	0
1545s8-t2A	1545B-8H2	1545	CONTROL	20	65	2	Microcosm	0
1545s8-t2B	1545B-8H2	1545	CH4	20	65	2	Microcosm	0
1545s8-t2C	1545B-8H2	1545	CO2	20	65	2	Microcosm	0
1545s8-t2D	1545B-8H2	1545	ACETATE	20	65	2	Microcosm	0
1545s8-t2E	1545B-8H2	1545	METHYL	20	65	2	Microcosm	0
1545s8-t2F	1545B-8H2	1545	METHOXY	20	65	2	Microcosm	0
1545s8-t2G	1545B-8H2	1545	ALKANES	20	65	2	Microcosm	0
1545s8-t2H	1545B-8H2	1545	LIGNIN	20	65	2	Microcosm	0
1547s1-t2A	1547B-1H2	1547	CONTROL	20	65	2	Microcosm	0
1547s1-t2B	1547B-1H2	1547	CH4	20	65	2	Microcosm	0
1547s1-t2C	1547B-1H2	1547	CO2	20	65	2	Microcosm	0
1547s1-t2D	1547B-1H2	1547	ACETATE	20	65	2	Microcosm	0
1547s1-t2E	1547B-1H2	1547	METHYL	20	65	2	Microcosm	0
1547s1-t2F	1547B-1H2	1547	METHOXY	20	65	2	Microcosm	0
1547s1-t2G	1547B-1H2	1547	ALKANES	20	65	2	Microcosm	0
1547s1-t2H	1547B-1H2	1547	LIGNIN	20	65	2	Microcosm	0
1549s1-t2A	1549B-1H2	1549	CONTROL	20	65	2	Microcosm	0
1549s1-t2B	1549B-1H2	1549	CH4	20	65	2	Microcosm	0
1549s1-t2C	1549B-1H2	1549	CO2	20	65	2	Microcosm	0
1549s1-t2D	1549B-1H2	1549	ACETATE	20	65	2	Microcosm	0
